11/06/2025 09:40:41.314 | DEBUG | cli-chess | incoming_event_manger.run | IEM event received: {'type': 'gameStart', 'game': {'fullId': 'IPs4mUE1OK8d', 'gameId': 'IPs4mUE1', 'fen': 'rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1', 'color': 'black', 'lastMove': '', 'source': 'ai', 'status': {'id': 20, 'name': 'started'}, 'variant': {'key': 'standard', 'name': 'Standard'}, 'speed': 'classical', 'perf': 'classical', 'rated': False, 'hasMoved': False, 'opponent': {'id': None, 'username': 'Stockfish level 2', 'ai': 2}, 'isMyTurn': False, 'secondsLeft': 1800, 'compat': {'bot': False, 'board': True}, 'id': 'IPs4mUE1'}}
11/06/2025 09:40:41.314 | INFO  | cli-chess | game_state_dispatcher.run | Started streaming game state: IPs4mUE1
11/06/2025 09:40:41.342 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameFull // topic: EventTopics.GAME_START
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model.set_board_orientation | Board orientation set to BLACK
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model._log_init_info | =============== BOARD INITIALIZATION ===============
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model._log_init_info | Variant: chess
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model._log_init_info | Starting FEN: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model._log_init_info | Orientation: black
11/06/2025 09:40:41.342 | DEBUG | cli-chess | board_model._log_init_info | ====================================================
11/06/2025 09:40:43.326 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:40:43.326 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e2e4
11/06/2025 09:41:03.462 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (d7d6) to lichess
11/06/2025 09:41:04.024 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:04.025 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d7d6
11/06/2025 09:41:06.376 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:06.377 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g1f3
11/06/2025 09:41:18.939 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g8f6) to lichess
11/06/2025 09:41:19.502 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:19.503 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g8f6
11/06/2025 09:41:21.018 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:21.021 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: b1c3
11/06/2025 09:41:50.815 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (e7e5) to lichess
11/06/2025 09:41:51.378 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:51.384 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e7e5
11/06/2025 09:41:54.499 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:41:54.500 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f1c4
11/06/2025 09:42:11.311 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (h7h6) to lichess
11/06/2025 09:42:11.882 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:42:11.888 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: h7h6
11/06/2025 09:42:15.062 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:42:15.063 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d2d4
